,Cas# /Accession#,Chemical Name
11396,36639-87-9,"Benzoic acid, 3-[[(methylamino)thioxomethyl]amino]-"
11397,36653-82-4,1-Hexadecanol
11398,36671-85-9,"Carbamic acid, octadecyl-, ethenyl ester, homopolymer"
11399,36673-16-2,"Titanium, bis[2-[bis(2-hydroxyethyl)amino-.kappa.N]ethanolato-.kappa.O]bis(2-propanolato)-"
11400,367-25-9,"Benzenamine, 2,4-difluoro-"
11401,367-51-1,"Acetic acid, 2-mercapto-, sodium salt (1:1)"
11402,367-93-1,".beta.-D-Galactopyranoside, 1-methylethyl 1-thio-"
11403,36727-29-4,"Hexanoyl chloride, 3,5,5-trimethyl-"
11404,36731-16-5,Tetracosene
11405,36734-19-7,Iprodione
11406,36768-62-4,"4-Piperidinamine, 2,2,6,6-tetramethyl-"
11407,36788-39-3,"3,6,8,11-Tetraoxa-7-phosphatridecane-1,13-diol, 7-[2-(2-hydroxymethylethoxy)methylethoxy]tetramethyl-"
11408,3681-71-8,(Z)- cis-3-Hexenyl acetate
11409,3681-73-0,"Hexadecanoic acid, (2E)-3,7-dimethyl-2,6-octadien-1-yl ester"
11410,36837-50-0,Methyl 3-(3-Tert-Butyl-4-Hydroxyphenyl)Propionat
11411,3686-66-6,"Benzoic acid, 4-chloro-, sodium salt (1:1)"
11412,3687-45-4,"9-Octadecenoic acid (Z)-, 9-octadecenyl ester, (Z)-"
11413,3687-46-5,"9-Octadecenoic acid (9Z)-, decyl ester"
11414,36870-02-7,"Titanium, bis(2,4-pentanedionato-.kappa.O2,.kappa.O4)(1,3-propanediolato-.kappa.O1,.kappa.O3)-"
11415,36878-20-3,"Benzenamine, ar-nonyl-N-(nonylphenyl)-"
11416,36888-99-0,"2,4,6(1H,3H,5H)-Pyrimidinetrione, 5,5'-(1H-isoindole-1,3(2H)-diylidene)bis-"
11417,3689-24-5,Sulfotep
11418,36890-68-3,"2-Oxepanone, polymer with 2,2'-oxybis[ethanol]"
11419,369-36-8,"Benzenamine, 2-fluoro-5-nitro-"
11420,369-68-6,"Benzeneamine, 3-[(trifluoromethyl)thio]-"
11421,36968-27-1,"2-Naphthalenecarboxamide, 4-[[4-(aminocarbonyl)phenyl]azo]-3-hydroxy-N-(2-methoxyphenyl)-"
11422,3697-24-3,5-Methylchrysene
11423,3698-83-7,"Benzene, 1,5-dichloro-2,4-dinitro-"
11424,3698-89-3,"Dodecane, 1-(methylthio)-"
11425,3699-54-5,"2-Imidazolidinone, 1-(2-hydroxyethyl)-"
11426,370865-89-7,"1H-Imidazolium, 3-ethyl-1-methyl-, salt with N-cyanocyanamide (1:1)"
11427,3709-43-1,"Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis[5-nitro-, sodium salt (1:2)"
11428,3709-71-5,"(2E)-2-Pentene, 1,1,1,2,3,4,5,5,5-nonafluoro-4-(trifluoromethyl)-"
11429,371-40-4,"Benzenamine, 4-fluoro-"
11430,3710-84-7,Diethylhydroxylamine
11431,371113-62-1,"Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-2-propen-1-yl)-.omega.-[3-[1,3,3,3-tetramethyl-1-[(trimethylsilyl)oxy]-1-disiloxanyl]propoxy]-"
11432,371113-63-2,"Poly(oxy-1,2-ethanediyl), .alpha.-(2-methyl-1-oxo-2-propen-1-yl)-.omega.-[3-[1,3,3,3-tetramethyl-1-[(trimethylsilyl)oxy]-1-disiloxanyl]propoxy]-"
11433,37133-18-9,"1,3-Bis(2-chloropropan-2-yl)benzene"
11434,37138-23-1,"Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis[5-[[4-chloro-6-(phenylamino)-1,3,5-triazin-2-yl]amino]-, sodium salt (1:2)"
11435,37139-99-4,"Benzenemethanaminium, N,N-dimethyl-N-(9Z)-9-octadecen-1-yl-, chloride (1:1)"
11436,37143-54-7,"2-Propanamine, 1-methoxy-"
11437,37161-74-3,Methyl beta-phenylglycidate
11438,3717-40-6,"Tricyclo[3.3.1.13,7]decan-1-amine, N,N-dimethyl-"
11439,37187-22-7,"2,4-Pentanedione, peroxide"
11440,37189-83-6,"9,12-Octadecadienoic acid (9Z,12Z)-, dimer, polymer with N1-(2-aminoethyl)-1,2-ethanediamine"
11441,37199-81-8,"2,5-Furandione, polymer with 2,4,4-trimethylpentene, sodium salt"
11442,372-09-8,Cyanoacetic acid
11443,372-31-6,"Butanoic acid, 4,4,4-trifluoro-3-oxo-, ethyl ester"
11444,372-39-4,"3,5-Difluoroaniline"
11445,3720-97-6,"2-Imidazolidinone, 4,5-dihydroxy-"
11446,37203-97-7,"9,10-Anthracenedione, 1,5(or 1,8)-dihydroxy-4-nitro-8(or 5)-(phenylamino)-"
11447,37205-87-1,"Poly(oxy-1,2-ethanediyl), .alpha.-(isononylphenyl)-.omega.-hydroxy-"
11448,37206-20-5,"2-Pentanone, 4-methyl-, peroxide"
11449,37220-82-9,Glycerine oleate
11450,37238-34-9,"Formaldehyde, polymer with nonylphenol and phenol"
11451,3724-43-4,"Methanaminium, N-(chloromethylene)-N-methyl-, chloride"
11452,3724-65-0,Crotonic acid
11453,37242-45-8,"Phosphoric acid, hexyl ester, potassium salt"
11454,37244-96-5,Nepheline syenite
11455,37247-91-9,Calcium magnesium oxide
11456,3726-36-1,"Cyclohexane, 1,2,3,5-tetramethyl-"
11457,3726-45-2,"Cyclohexane, 1,2,3,4-tetramethyl-"
11458,37267-86-0,Metaphosphoric acid
11459,37286-64-9,Polypropylene glycol Monomethyl ether
11460,37288-54-3,"Mannanase, endo-1,4-beta-"
11461,37294-49-8,"Butanedioic acid, sulfo-, C-isodecyl ester, disodium salt"
11462,373-02-4,Nickel(II) acetate
11463,373-49-9,"9-Hexadecenoic acid, (9Z)-"
11464,373-57-9,"Boron, trifluoro(methanol)-, (T-4)-"
11465,373-61-5,Acetic acid boron trifluoride (2:1)
11466,3731-51-9,2-Pyridinemethaneamine
11467,37310-83-1,"9-Octadecen-1-ol, (9Z)-, phosphate"
11468,37318-31-3,".alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl, octadecanoate"
11469,37338-48-0,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-[2-[ethyl[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctyl)sulfonyl]amino]ethyl]-.omega.-hydroxy-"
11470,3734-33-6,Denatonium benzoate
11471,37340-60-6,"Poly(oxy-1,2-ethanediyl), .alpha.-(nonylphenyl)-.omega.-hydroxy-, phosphate, sodium salt"
11472,37360-98-8,Freon C 51-12
11473,3738-00-9,"Naphtho[2,1-b]furan, dodecahydro-3a,6,6,9a-tetramethyl-"
11474,3739-67-1,"Benzene, 1,1'-(1-methylethylidene)bis[4-(2-propenyloxy)-"
11475,374-07-2,"1,1-Dichloro-1,2,2,2-Tetrafluoroethane"
11476,374-42-5,"Ethanesulfonyl chloride, 1,1,2,2-tetrafluoro-"
11477,374-98-1,"Butane, 1,1,1,2,2,3,3-heptafluoro-4-iodo-"
11478,374078-75-8,"2-Propen-1-ol, reaction products with hydrogen sulfide, distn. Residues"
11479,3741-80-8,"2-Benzothiazolesulfenamide, N-(2-benzothiazolylthio)-N-(1,1-dimethylethyl)-"
11480,37437-21-1,"Thioperoxydicarbonic diamide ([(H2N)C(S)]2S2), N,N,N',N'-tetrakis(2-ethylhexyl)-"
11481,37439-34-2,"2(1H)-Pyridinone, 3,5,6-trichloro-, sodium salt"
11482,37443-42-8,"2-Furancarboxylic acid, tetrahydro-, methyl ester"
11483,37475-84-6,"Benzenesulfonic acid, dodecyl-, compd. with 2-amino-2-methyl-1-propanol (1:1)"
11484,37475-88-0,Ammonium cumene sulfonate
11485,3748-13-8,"1,3-Diisopropenylbenzene"
11486,37486-69-4,"3,6,9,12,15-Pentaoxaoctadecane, 1,1,1,2,4,4,5,7,7,8,10,10,11,13,13,14,16,16,17,17,18,18,18-tricosafluoro-5,8,11,14-tetrakis(trifluoromethyl)-"
11487,375-00-8,"Butanenitrile, 2,2,3,3,4,4,4-heptafluoro-"
11488,375-01-9,"1-Butanol, 2,2,3,3,4,4,4-heptafluoro-"
11489,375-03-1,"1,1,1,2,2,3,3-Heptafluoro-3-methoxypropane"
11490,375-16-6,"Butanoyl chloride, 2,2,3,3,4,4,4-heptafluoro-"
11491,375-22-4,"Butanoic acid, 2,2,3,3,4,4,4-heptafluoro-"
11492,375-50-8,"n-Diiodoperfluoroalkanes mixture,Hexadecafluoro-1,8diiodooctane,Diiodofluoro chemical,1,6-Diiodoperfluorohexane,1,1,2,2,3,3,4,4-Octafluoro1,4-diiodobutane"
11493,375-62-2,"Pentanoyl fluoride, 2,2,3,3,4,4,5,5,5-nonafluoro-"
11494,375-63-3,"Silane, trichloro(1,1,2,2,3,3,4,4-octafluorobutyl)-"
11495,375-72-4,Perfluoro-1-butanesulfonyl fluoride
11496,375-73-5,"1-Butanesulfonic acid, 1,1,2,2,3,3,4,4,4-nonafluoro-"
11497,375-80-4,"1,6-Diiodoperfluorohexane"
11498,375-81-5,"1,1,2,2,3,3,4,4,5,5,5-Undecafluoro-1-pentanesulfonyl fluoride"
11499,375-84-8,"Heptanoyl fluoride, 2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoro-"
11500,375-85-9,"Heptanoic acid, 2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoro-"
11501,375-88-2,"Heptane, 1-bromo-1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-"
11502,375-92-8,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-Pentadecafluoro-1-heptanesulfonic acid"
11503,375-95-1,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononanoic acid"
11504,3757-76-4,"Phenol, 2,4-dichloro-, sodium salt"
11505,3759-61-3,"Carbonochloridic acid, 1-naphthalenyl ester"
11506,376-06-7,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-Heptacosafluorotetradecanoic acid"
11507,376-14-7,"2-[Ethyl(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctylsulfonyl)amino]ethyl 2-methylprop-2-enoate"
11508,376-18-1,"1-Nonanol, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9-hexadecafluoro-"
11509,376-27-2,"Methyl 2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoate"
11510,376-50-1,"Hexanedioic acid, 2,2,3,3,4,4,5,5-octafluoro-, 1,6-diethyl ester"
11511,376-73-8,"Pentanedioic acid, 2,2,3,3,4,4-hexafluoro-"
11512,376-84-1,"2-Propenoic acid, 2,2,3,3,4,4,5,5-octafluoropentyl ester"
11513,376-90-9,"1,5-Pentanediol, 2,2,3,3,4,4-hexafluoro-"
11514,3760-54-1,1-Formylpyrrolidin
11515,37609-25-9,5-cyclohexadecen-1-one
11516,3761-53-3,"2,7-Naphthalenedisulfonic acid, 4-[2-(2,4-dimethylphenyl)diazenyl]-3-hydroxy-, sodium salt (1:2)"
11517,3761-95-3,"Cyclopentene, 1-chloro-3,3,4,4,5,5-hexafluoro-"
11518,37625-56-2,"2-Oxepanone, polymer with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol"
11519,37640-57-6,"1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, compd. with 1,3,5-triazine-2,4,6-triamine (1:1)"
11520,3766-81-2,"Phenol, 2-(1-methylpropyl)-, 1-(N-methylcarbamate)"
11521,37677-14-8,"3-Cyclohexene-1-carboxaldehyde, 4-(4-methyl-3-penten-1-yl)-"
11522,37680-65-2,"2,2',5-Trichlorobiphenyl"
11523,37680-66-3,"2,2',4-Trichlorobiphenyl"
11524,37680-68-5,"2,3',5'-Trichlorobiphenyl"
11525,37680-69-6,"3,3',4-Trichlorobiphenyl"
11526,37680-73-2,"2,2',4,5,5'-Pentachlorobiphenyl"
11527,377-36-6,"Butane, 1,1,2,2,3,3,4,4-octafluoro-"
11528,377-38-8,"Butanedioic acid, 2,2,3,3-tetrafluoro-"
11529,377-71-9,"Butanedioic acid, 2,2,3,3-tetrafluoro-, 1,4-diethyl ester"
11530,377-73-1,"Ethanesulfonic acid, 2-[1-[difluoro(1,2,2,2-tetrafluoroethoxy)methyl]-1,2,2,2-tetrafIuoroethoxy]-1,1,2,2-tetrafluoro-, potassiumsalt (1:1)"
11531,37717-68-3,"Methanesulfonamide, N-[2-[ethyl(3-methylphenyl)amino]ethyl]-"
11532,3772-26-7,"2-Pyrrolidinone, 1-(1-methylethyl)-"
11533,3772-94-9,"(2,3,4,5,6-pentachlorophenyl) dodecanoate"
11534,37734-45-5,"Carbonochloridothioic acid, S-(phenylmethyl) ester"
11535,3775-90-4,2-(Tert-Butylamino)Ethyl Methacrylate
11536,37764-25-3,"Acetamide, 2,2-dichloro-N,N-di-2-propen-1-yl-"
11537,37788-55-9,"1H-Imidazole-1-ethanol, .alpha.-methyl-"
11538,3779-63-3,"1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, 1,3,5-tris(6-isocyanatohexyl)-"
11539,378-17-6,"Cyclobutanemethanol, 2,2,3,3-tetrafluoro-"
11540,378-75-6,"Propanoic acid, 2,2,3,3,3-pentafluoro-, methyl ester"
11541,378-76-7,"Propanoic acid, 2,2,3,3,3-pentafluoro-, potassium salt (1:1)"
11542,378-77-8,"Propanoic acid, 2,2,3,3,3-pentafluoro-, sodium salt (1:1)"
11543,37843-26-8,(E)-N-[[(E)-butan-2-ylideneamino]oxy-dimethylsilyl]oxybutan-2-imine
11544,37853-59-1,"1,2-Bis(2,4,6-tribromophenoxy)ethane"
11545,37853-61-5,"Benzene, 1,1'-(1-methylethylidene)bis[3,5-dibromo-4-methoxy-"
11546,37859-55-5,"2-Pentanone, 2,2',2''-[O,O',O''-(methylsilylidyne)trioxime]"
11547,37859-57-7,"2-Pentanone, 4-methyl-, O,O',O''-(methylsilylidyne)trioxime"
11548,37871-12-8,"Benzene, (1,1-dimethylethyl)ethyl-"
11549,3794-64-7,"Butanoic acid, 2,2,3,3,4,4,4-heptafluoro-, silver(1+) salt (1:1)"
11550,3794-83-0,"Phosphonic acid, (1-hydroxyethylidene)bis-, tetrasodium salt"
11551,37953-05-2,"Benzenesulfonic acid, (1-methylethyl)-"
11552,37971-36-1,"1,2,4-Butanetricarboxylic acid, 2-phosphono-"
11553,38006-74-5,"3-(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluorooctylsulfonylamino)propyl-trimethylazanium;chloride"
11554,38011-25-5,"Glycine, N,N'-1,2-ethanediylbis-, sodium salt (1:2)"
11555,38049-84-2,"Stannane, hydroxytris(4-methylphenyl)-"
11556,38051-10-4,"Phosphoric acid, 2,2-bis(chloromethyl)-1,3-propanediyl tetrakis(2-chloroethyl) ester"
11557,3806-34-6,"O,O'-Dioctadecylpentaerythritol bis(phosphite)"
11558,38094-42-7,"Propanoic acid, methoxy-"
11559,381-72-6,"Acetyl chloride, 2,2-difluoro-"
11560,381-73-7,"Acetic acid, 2,2-difluoro-"
11561,38103-06-9,"1,3-Isobenzofurandione, 5,5'-[(1-methylethylidene)bis(4,1-phenyleneoxy)]bis-"
11562,3811-04-9,Potassium chlorate
11563,3811-71-0,"Disodium 4-[(E)-{4'-[(E)-{2,4-diamino-5-[(E)-(4-sulfonatophenyl)diazenyl]phenyl}diazenyl]-4-biphenylyl}diazenyl]-2-hydroxybenzoate"
11564,3811-73-2,"2-Pyridinethiol, 1-oxide, sodium salt"
11565,381725-51-5,"Hexanedioic acid, di-C8-10-isoalkyl esters, C9-rich"
11566,382-10-5,"3,3,3,4,4,4-Hexafluoroisobutylene"
11567,382-21-8,"1-Propene, 1,1,3,3,3-pentafluoro-2-(trifluoromethyl)-"
11568,382-22-9,"Propanoyl fluoride, 3,3,3-trifluoro-2-(trifluoromethyl)-"
11569,382-28-5,Perfluoro-4-methylmorpholine
11570,382-31-0,"1-Butanol, 2,2,3,4,4,4-hexafluoro-"
11571,382-34-3,HFE-356mec3
11572,3820-83-5,"2-[Ethyl(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctylsulfonyl)amino]ethyl dihydrogen phosphate"
11573,3825-26-1,Ammonium perfluorooctanoate
11574,38285-49-3,Jasmin pyranol
11575,38294-64-3,"Phenol, 4,4'-(1 -methylethylidene)bis-, polymer with 5-amino-I,3,3-trimethylcyclohexanemethanamine and 2-(chloromethyl)oxirane"
11576,383-07-3,"2-(N-Butylamino)-4,6-dichlorotriazine"
11577,383-63-1,Trifluoroethyl acetate
11578,38321-18-5,"Ethanol, 2-(2-butoxyethoxy)-, sodium salt"
11579,38353-82-1,"2-Propanol, 1-[(3-aminophenyl)amino]-3-phenoxy-"
11580,38379-99-6,"2,2',3,5',6-Pentachlorobiphenyl"
11581,38380-01-7,"2,2',4,4',5-Pentachlorobiphenyl"
11582,38380-02-8,"2,2',3,4,5'-Pentachlorobiphenyl"
11583,38380-03-9,"2,3,3',4',6-Pentachlorobiphenyl"
11584,38380-04-0,"2,2',3,4',5',6-Hexachlorobiphenyl"
11585,38380-05-1,"2,2',3,3',4,6'-Hexachlorobiphenyl"
11586,38380-07-3,"2,2',3,3',4,4'-Hexachlorobiphenyl"
11587,38380-08-4,"2,3,3',4,4',5-Hexachlorobiphenyl"
11588,383905-85-9,"Polyphosphoric acids, compds. with piperazine"
11589,38402-11-8,"Benzoic acid, 2,4-dichloro-, sodium salt (1:1)"
11590,38411-22-2,"2,2',3,3',6,6'-Hexachlorobiphenyl"
11591,38411-25-5,"2,2',3,3',4,5,6'-Heptachlorobiphenyl"
11592,3844-45-9,FD&C Blue No.1
11593,38444-73-4,"2,2',6-Trichlorobiphenyl"
11594,38444-76-7,"2,3',6-Trichlorobiphenyl"
11595,38444-77-8,"2,4',6-Trichlorobiphenyl"
11596,38444-78-9,"2,2',3-Trichlorobiphenyl"
11597,38444-81-4,"2,3',5-Trichlorobiphenyl"
11598,38444-84-7,"2,3,3'-Trichlorobiphenyl"
11599,38444-85-8,"2,3,4'-Trichlorobiphenyl"
11600,38444-86-9,"2,3',4'-Trichlorobiphenyl"
11601,38444-87-0,"3,3',5-Trichlorobiphenyl"
11602,38444-88-1,"3,4',5-Trichlorobiphenyl"
11603,38444-90-5,"3,4,4'-Trichlorobiphenyl"
11604,38444-93-8,"2,2',3,3'-Tetrachlorobiphenyl"
11605,3845-76-9,"2-Propenamide, N-[3-(dimethylamino)propyl]-"
11606,38462-22-5,"Cyclohexanone, 2-(1-mercapto-1-methylethyl)-5-methyl-"
11607,38465-60-0,"Borate(1-), tetrafluoro-, copper(2+) (2:1)"
11608,385-00-2,"Benzoic acid, 2,6-difluoro-"
11609,3851-87-4,"Peroxide, bis(3,5,5-trimethyl-1-oxohexyl)"
11610,3852-09-3,"Propanoic acid, 3-methoxy-, methyl ester"
11611,3855-32-1,"1,3-Propanediamine, N-[3-(dimethylamino)propyl]-N,N',N'-trimethyl-"
11612,38550-44-6,"1-Nonanol, 4,4,5,5,6,6,7,7,8,8,9,9,9-tridecafluoro-2-iodo-"
11613,38550-45-7,"1-Undecanol, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-heptadecafluoro-2-iodo-"
11614,38550-46-8,"1-Tridecanol, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,13-heneicosafluoro-2-iodo-"
11615,38565-52-5,"Oxirane, 2-(2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoroheptyl)-"
11616,3858-78-4,"1-Butanamine, hydrochloride (1:1)"
11617,38613-77-3,"Phosphonous acid, [1,1'-biphenyl]-4,4'-diylbis-, tetrakis[2,4-bis(1,1-dimethylethyl)phenyl] ester"
11618,38618-12-1,"9-Octadecenoic acid (9Z)-, compd. with 1,1'-iminobis[2-propanol] (1:1)"
11619,3864-99-1,"Phenol, 2-(5-chloro-2H-benzotriazol-2-yl)-4,6-bis(1,1-dimethylethyl)-"
11620,38640-62-9,Diisopropylnaphthalene
11621,3865-34-7,[Dimethyl(octadec-9-enoyloxy)stannyl] octadec-9-enoate
11622,38661-72-2,"Cyclohexane, 1,3-bis(isocyanatomethyl)-"
11623,38668-48-3,"2-propanol, 1,1'-[(4-methylphenyl)imino]bis-"
11624,3871-50-9,"Disodium;2-[ethyl(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctylsulfonyl)amino]acetate;formaldehyde;2-(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctylsulfinylamino)acetate;propane"
11625,3871-99-6,"Potassium;1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonate"
11626,38714-47-5,"Zinc(2+), tetraammine-, (T-4)-, carbonate (1:1)"
11627,3872-25-1,"Potassium;1,1,2,2,3,3,4,4,5,5,5-undecafluoropentane-1-sulfonate"
11628,38727-55-8,Diethatyl ethyl
11629,3878-55-5,"Butanedioic acid, monomethyl ester"
11630,38820-59-6,"Phosphonic acid, [1,6-hexanediylbis[nitrilobis(methylene)]]tetrakis-, potassium salt"
11631,38832-94-9,"Praseodymium, tris[3-[2,2,3,3,4,4,4-heptafluoro-1-(oxo-.kappa.O)butyl]-1,7,7-trimethylbicyclo[2.2.1]heptan-2-onato-.kappa.O]-"
11632,3884-95-5,"2-(1,1,3,3-Tetramethylbutyl)phenol"
11633,38850-52-1,{[(Tridecafluorohexyl)sulfonyl][3-(trimethylammonio)propyl]amino}acetate
11634,38850-58-7,"2-Hydroxyethyl-dimethyl-[3-(3-sulfopropyl-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexylsulfonyl)amino)propyl]ammonium hydroxide"
11635,38850-60-1,"3-[3-(Dimethylamino)propyl-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexylsulfonyl)amino]propane-1-sulfonic acid"
11636,388606-32-4,"1-Propanamine, 3-[(2,2-dimethyl-1-aza-2-silacyclopent-1-yl)dimethylsilyl]-"
11637,38861-78-8,"Ethanone, 1-[4-(2-methylpropyl)phenyl]-"
11638,38870-89-2,"Acetyl chloride, methoxy-"
11639,38888-98-1,Diphenylethane
11640,38900-29-7,"Nonanedioic acid, dilithium salt"
11641,38905-21-4,2-methyl-2-propenoate
11642,3891-59-6,"D-Glucose, 2,3,4,5,6-pentaacetate"
11643,3891-98-3,"Dodecane, 2,6,10-trimethyl-"
11644,38916-42-6,"Aspartic acid, N-(3-carboxy-1-oxo-3-sulfopropyl)-N-octadecyl-, tetrasodium salt"
11645,38954-75-5,(Myristyloxymethyl)oxirane
11646,3896-11-5,2-(2-Hydroxy-3-tert-butyl-5-methylphenyl)-5-chloro-2H-benzotriazole
11647,389623-01-2,"Rutile, tin zinc, calcium-doped"
11648,389623-07-8,"Rutile, tin zinc, sodium-doped"
11649,38970-76-2,"Benzoic acid, 2-hydroxy-, dilithium salt"
11650,3900-04-7,Hexyl phosphate
11651,39001-02-0,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran"
11652,3901-77-7,"2,4,6-Trimethyl-2,4,6-trivinylcyclotrisiloxane"
11653,3905-19-9,"2-Naphthalenecarboxamide, N,N'-1,4-phenylenebis[4-[(2,5-dichlorophenyl)azo]-3-hydroxy-"
11654,39072-70-3,"Urea, N,N''-1,6-hexanediylbis[N'-(phenylmethyl)-"
11655,390748-41-1,"Nitriles, rosin"
11656,390748-76-2,"Tall-oil pitch, sapond., neutralized, sterol-low"
11657,391232-99-8,"1-Propanaminium, 3-amino-N,N,N-trimethyl-, N-soya acyl derivs., chlorides"
11658,3913-02-8,Butyloctanol
11659,39142-28-4,Methyl N-methoxycarbothioylcarbamate
11660,39142-36-4,n-butoxycarbonyl-O-n-butyl thionocarbamate: n-butoxycarbonyl-O-n-butyl thionocarbamate (CAS number: 39142-36-4) (Percentage of mixture: 97.6%)
11661,39142-39-7,"Thioimidodicarbonic acid ((HO)C(O)NHC(S)(OH)), O1,O3-bis(2-methylpropyl) ester"
11662,39148-24-8,Fosetyl-Al
11663,39156-41-7,"1,3-Benzenediamine, 4-methoxy-, sulfate (1:1)"
11664,39189-74-7,2-Heptylidenecyclopentanonne
11665,39196-18-4,"2-Butanone, 3,3-dimethyl-1-(methylthio)-, O-[(methylamino)carbonyl]oxime"
11666,39202-17-0,"9-Dodecenoic acid, methyl ester"
11667,39227-28-6,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin"
11668,3923-79-3,"2-Imidazolidinone, 4,5-dihydroxy-1,3-dimethyl-"
11669,39239-77-5,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecan-1-ol"
11670,39255-32-8,"Pentanoic acid, 2-methyl-, ethyl ester"
11671,3926-62-3,"Acetic acid, chloro-, sodium salt"
11672,39278-27-8,"Lignosulfonic acid, barium salt"
11673,39290-78-3,Aluminum chloride hydroxide sulfate
11674,39290-90-9,Dimagnesium;dipotassium;dioxido(oxo)titanium;titanium;tetrahydroxide
11675,393-75-9,"1,3-Dino2 2-Cl 5-Cf3 benzene"
11676,39300-45-3,Dinocap
11677,39316-70-6,"Starch, hydrogen butanedioate"
11678,39317-41-4,"2-Propenoic acid, monoester with 1,2-propanediol, polymer with chloroethene and ethenyl acetate"
11679,39318-18-8,Tungsten oxide
11680,39318-30-4,Lithium potassium titanium oxide
11681,39322-78-6,"Phosphoric acid, dodecyl ester, potassium salt"
11682,39331-38-9,"Lignosulfonic acid, iron salt"
11683,3934-23-4,"2-Propenoic acid, 2-methyl-, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctyl ester"
11684,39345-87-4,Carbon silicon oxide
11685,393509-79-0,"benzoic acid, 2-(chlorosulfonyl)-4-[[(methylsulfonyl)amino]methyl]methyl ester"
11686,39354-45-5,"Poly(oxy-1,2-ethanediyl), .alpha.-(3-carboxy-1-oxo-3-sulfopropyl)-.omega.-(dodecyloxy)-, disodium salt"
11687,39377-63-4,Titanium tungsten carbide
11688,39382-25-7,"2-Butenedioic acid (2E)-, polymer with .alpha.,.alpha.'-[(1-methylethylidene)di-4,1-phenylene]bis[.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)]]"
11689,39385-67-6,"Dodecanoic acid, ester with 2,2-bis(hydroxymethyl)-1,3-propanediol"
11690,39393-37-8,"Di(Heptyl,Nonyl,Undecyl)phthalate"
11691,394-28-5,"Benzoic acid, 2-bromo-5-fluoro-"
11692,394-30-9,"Benzoic acid, 5-chloro-2-fluoro-"
11693,39405-47-5,"Dextrin, reaction products with boric acid"
11694,39409-82-0,Magnesium hydroxide carbonate
11695,39421-75-5,"Guar gum, 2-hydroxypropyl ether"
11696,394236-97-6,Theobroma grandiflorum seed butter
11697,39430-51-8,"Acetic acid, chromium salt, basic"
11698,3944-72-7,1-Octanesulfonic acid
11699,39445-23-3,Calcium magnesium hydroxide
11700,39454-62-1,"Ethanol, 2-butoxy-, phosphate"
11701,39464-64-7,"Poly(oxy-1,2-ethanediyl), .alpha.-(dinonylphenyl)-.omega.-hydroxy-,phosphate"
11702,39464-66-9,"Poly(oxy-1,2-ethanediyl), .alpha.-dodecyl-.omega.-hydroxy-, phosphate"
11703,39464-69-2,"Poly(oxy-1,2-ethanediyl), .alpha.-(9Z)-9-octadecenyl-.omega.-hydroxy-, phosphate"
11704,39464-70-5,"Poly(oxy-1,2-ethanediyl), .alpha.-phenyl-.omega.-hydroxy-, phosphate"
11705,39471-52-8,"Phosphoric acid, octadecyl ester"
11706,39485-83-1,"2,2',4,4',6-Pentachlorobiphenyl"
11707,39515-41-8,Fenpropathrin
